Rank,Bowler,Season,Matches,Wickets,Balls,Overs,Runs Conceded,Economy,Average,Strike Rate,Dot Ball %,Boundary %,PP Economy,Middle Economy,Death Economy,Qualified
1,Mohammed Shami,2023,17,28.0,391,65.17,521,7.99,18.61,13.96,47.06,19.69,7.5,7.5,9.63,True
2,MM Sharma,2023,14,27.0,265,44.17,361,8.17,13.37,9.81,32.45,16.6,9.33,7.5,8.77,True
3,Rashid Khan,2023,17,27.0,402,67.0,552,8.24,20.44,14.89,32.09,16.42,9.5,7.71,8.77,True
4,PP Chawla,2023,16,22.0,366,61.0,495,8.11,22.5,16.64,32.79,16.67,8.3,8.21,6.0,True
5,YS Chahal,2023,14,21.0,317,52.83,432,8.18,20.57,15.1,29.97,14.51,6.0,8.36,8.0,True
6,TU Deshpande,2023,16,21.0,342,57.0,563,9.88,26.81,16.29,37.43,23.98,7.88,9.0,12.74,True
7,CV Varun,2023,14,20.0,316,52.67,429,8.15,21.45,15.8,36.39,17.41,8.31,7.92,8.37,True
8,RA Jadeja,2023,16,20.0,342,57.0,431,7.56,21.55,17.1,30.99,11.99,0.0,7.24,16.5,True
9,Mohammed Siraj,2023,14,19.0,300,50.0,375,7.5,19.74,15.79,50.33,18.0,5.93,9.14,10.23,True
10,M Pathirana,2023,12,19.0,278,46.33,371,8.01,19.53,14.63,34.17,12.95,0.0,7.94,8.05,True
11,Arshdeep Singh,2023,14,17.0,305,50.83,493,9.7,29.0,17.94,36.07,25.57,10.32,8.92,9.45,True
12,Noor Ahmad,2023,13,16.0,283,47.17,369,7.82,23.06,17.69,35.34,14.49,8.4,7.94,6.84,True
13,B Kumar,2023,14,16.0,306,51.0,425,8.33,26.56,19.12,39.54,19.93,7.57,10.0,9.11,True
14,Ravi Bishnoi,2023,14,16.0,303,50.5,391,7.74,24.44,18.94,31.02,12.54,8.0,7.51,8.93,True
15,JP Behrendorff,2023,12,14.0,252,42.0,387,9.21,27.64,18.0,34.92,21.43,7.67,11.83,12.11,True
16,HV Patel,2023,13,14.0,283,47.17,453,9.6,32.36,20.21,27.21,19.79,0.0,8.48,11.0,True
17,Akash Madhwal,2023,8,14.0,153,25.5,219,8.59,15.64,10.93,32.68,15.69,7.2,10.0,8.09,True
18,R Ashwin,2023,13,14.0,294,49.0,368,7.51,26.29,21.0,29.93,11.56,8.54,7.48,5.0,True
19,NT Ellis,2023,10,13.0,228,38.0,339,8.92,26.08,17.54,28.51,17.54,7.3,8.44,10.92,True
20,TA Boult,2023,10,13.0,228,38.0,312,8.21,24.0,17.54,45.18,20.61,6.81,10.0,13.0,True
21,Yash Thakur,2023,9,13.0,191,31.83,289,9.08,22.23,14.69,32.98,18.32,9.17,8.17,9.83,True
22,DL Chahar,2023,10,13.0,204,34.0,297,8.74,22.85,15.69,39.22,20.1,8.41,5.67,13.25,True
23,M Markande,2023,10,12.0,228,38.0,300,7.89,25.0,19.0,33.33,16.23,0.0,7.5,10.0,True
24,MR Marsh,2023,8,12.0,121,20.17,170,8.43,14.17,10.08,28.1,13.22,7.0,8.33,9.79,True
25,AR Patel,2023,13,11.0,282,47.0,338,7.19,30.73,25.64,36.17,12.77,7.82,6.74,16.0,True
26,Naveen-ul-Haq,2023,7,11.0,169,28.17,218,7.74,19.82,15.36,37.87,14.2,7.45,5.0,8.81,True
27,M Theekshana,2023,13,11.0,294,49.0,392,8.0,35.64,26.73,27.55,14.63,8.64,7.64,8.0,True
28,MA Wood,2023,4,11.0,96,16.0,130,8.12,11.82,8.73,43.75,17.71,8.75,3.8,10.86,False
29,SP Narine,2023,14,11.0,288,48.0,383,7.98,34.82,26.18,29.17,13.89,9.86,7.42,8.62,True
30,Kuldeep Yadav,2023,14,10.0,294,49.0,361,7.37,36.1,29.4,27.89,10.88,0.0,7.49,6.75,True
31,KV Sharma,2023,7,10.0,129,21.5,223,10.37,22.3,12.9,28.68,22.48,0.0,10.31,11.0,True
32,M Jansen,2023,8,10.0,163,27.17,266,9.79,26.6,16.3,41.1,22.7,8.74,11.58,17.0,True
33,A Nortje,2023,10,10.0,240,40.0,364,9.1,36.4,24.0,37.5,20.42,8.79,8.0,9.74,True
34,Suyash Sharma,2023,11,10.0,234,39.0,321,8.23,32.1,23.4,34.19,17.09,7.33,7.7,11.33,True
35,T Natarajan,2023,12,10.0,270,45.0,410,9.11,41.0,27.0,26.67,19.26,8.67,8.36,9.73,True
36,SM Curran,2023,14,10.0,287,47.83,489,10.22,48.9,28.7,27.87,24.39,8.68,12.75,10.16,True
37,Sandeep Sharma,2023,12,10.0,276,46.0,396,8.61,39.6,27.6,34.06,19.2,7.72,9.83,9.6,True
38,I Sharma,2023,8,10.0,150,25.0,206,8.24,20.6,15.0,43.33,21.33,7.88,5.75,12.25,True
39,KK Ahmed,2023,9,9.0,198,33.0,301,9.12,33.44,22.0,40.91,22.22,7.22,10.0,11.91,True
40,WD Parnell,2023,7,9.0,151,25.17,236,9.38,26.22,16.78,36.42,23.18,8.29,11.75,11.52,True
41,KH Pandya,2023,12,9.0,252,42.0,313,7.45,34.78,28.0,36.51,16.27,7.89,7.29,5.0,True
42,Vijaykumar Vyshak,2023,7,9.0,144,24.0,253,10.54,28.11,16.0,27.78,22.92,9.5,10.08,12.5,True
43,MM Ali,2023,11,9.0,156,26.0,195,7.5,21.67,17.33,34.62,12.82,5.0,7.91,3.0,True
44,Harpreet Brar,2023,11,9.0,163,27.17,218,8.02,24.22,18.11,34.97,17.18,9.25,6.2,12.24,True
45,PWH de Silva,2023,8,9.0,174,29.0,258,8.9,28.67,19.33,31.03,18.39,8.6,9.59,2.0,True
46,RD Chahar,2023,14,8.0,298,49.67,385,7.75,48.12,37.25,31.21,15.1,9.0,7.44,9.88,True
47,Avesh Khan,2023,9,8.0,174,29.0,283,9.76,35.38,21.75,33.33,24.71,10.75,7.8,9.58,True
48,A Zampa,2023,6,8.0,132,22.0,188,8.55,23.5,16.5,29.55,17.42,6.5,9.33,9.25,True
49,AD Russell,2023,9,7.0,91,15.17,172,11.34,24.57,13.0,34.07,26.37,12.17,9.75,11.61,False
50,K Rabada,2023,6,7.0,139,23.17,231,9.97,33.0,19.86,41.73,24.46,9.33,8.8,12.16,True
51,J Little,2023,10,7.0,204,34.0,294,8.65,42.0,29.14,35.78,18.63,7.91,8.43,9.89,True
52,SN Thakur,2023,9,7.0,126,21.0,220,10.48,31.43,18.0,25.4,24.6,12.5,8.95,11.23,True
53,AS Joseph,2023,7,7.0,144,24.0,225,9.38,32.14,20.57,38.89,20.14,8.5,9.13,10.14,True
54,A Mishra,2023,7,7.0,114,19.0,149,7.84,21.29,16.29,26.32,14.04,0.0,7.33,9.75,False
55,RP Meredith,2023,5,7.0,118,19.67,207,10.53,29.57,16.86,33.9,27.12,10.75,9.43,11.31,False
56,Mukesh Kumar,2023,10,7.0,186,31.0,326,10.52,46.57,26.57,33.87,25.81,8.58,11.83,11.69,True
57,MG Bracewell,2023,5,6.0,66,11.0,95,8.64,15.83,11.0,39.39,19.7,6.5,9.11,0.0,False
58,C Green,2023,16,6.0,228,38.0,361,9.5,60.17,38.0,34.65,21.93,8.93,8.07,13.25,True
59,Akash Singh,2023,6,5.0,114,19.0,188,9.89,37.6,22.8,40.35,26.32,9.6,11.33,10.0,False
60,VG Arora,2023,5,5.0,96,16.0,146,9.12,29.2,19.2,31.25,17.71,8.67,1.0,11.17,False
61,Arshad Khan,2023,6,5.0,85,14.17,190,13.41,38.0,17.0,29.41,37.65,12.71,10.33,16.8,False
62,Umran Malik,2023,8,5.0,120,20.0,217,10.85,43.4,24.0,34.17,30.0,28.0,8.93,13.75,True
63,MP Stoinis,2023,5,5.0,65,10.83,100,9.23,20.0,13.0,33.85,20.0,11.29,7.67,11.0,False
64,K Kartikeya,2023,8,5.0,156,26.0,227,8.73,45.4,31.2,25.64,15.38,0.0,8.09,12.25,True
65,Harshit Rana,2023,6,5.0,102,17.0,147,8.65,29.4,20.4,43.14,23.53,7.93,7.5,21.0,False
66,Fazalhaq Farooqi,2023,4,4.0,80,13.33,117,8.78,29.25,20.0,40.0,22.5,9.14,7.5,9.86,False
67,JO Holder,2023,8,4.0,171,28.5,284,9.96,71.0,42.75,23.39,23.39,9.0,9.45,10.8,True
68,Yudhvir Singh,2023,3,3.0,48,8.0,70,8.75,23.33,16.0,47.92,25.0,8.43,11.0,0.0,False
69,N Rana,2023,6,3.0,53,8.83,75,8.49,25.0,17.67,33.96,18.87,26.0,5.4,7.76,False
70,Arjun Tendulkar,2023,4,3.0,59,9.83,92,9.36,30.67,19.67,38.98,18.64,6.43,12.0,19.09,False
71,AS Roy,2023,3,3.0,48,8.0,65,8.12,21.67,16.0,41.67,16.67,0.0,8.43,6.0,False
72,CJ Jordan,2023,6,3.0,132,22.0,237,10.77,79.0,44.0,31.06,26.52,9.0,11.0,11.7,True
73,C Sakariya,2023,2,3.0,48,8.0,89,11.12,29.67,16.0,35.42,25.0,4.67,9.0,19.0,False
74,Navdeep Saini,2023,1,3.0,24,4.0,40,10.0,13.33,8.0,37.5,29.17,12.0,10.0,8.0,False
75,GJ Maxwell,2023,7,3.0,62,10.33,94,9.1,31.33,20.67,29.03,17.74,6.67,9.5,12.75,False
76,DJ Willey,2023,4,3.0,90,15.0,105,7.0,35.0,30.0,40.0,14.44,6.11,6.0,10.67,False
77,Washington Sundar,2023,7,3.0,106,17.67,146,8.26,48.67,35.33,33.02,16.98,14.0,6.42,7.8,False
78,RS Hangargekar,2023,2,3.0,36,6.0,60,10.0,20.0,12.0,38.89,22.22,12.0,10.67,8.0,False
79,Sikandar Raza,2023,6,3.0,73,12.17,118,9.7,39.33,24.33,26.03,20.55,14.0,8.85,0.0,False
80,MJ Santner,2023,3,3.0,72,12.0,81,6.75,27.0,24.0,29.17,12.5,9.0,6.22,7.0,False
81,Mohsin Khan,2023,4,3.0,60,10.0,107,10.7,35.67,20.0,36.67,26.67,15.5,11.0,5.75,False
82,HR Shokeen,2023,8,3.0,114,19.0,187,9.84,62.33,38.0,32.46,20.18,8.2,10.43,0.0,False
83,JR Hazlewood,2023,3,3.0,54,9.0,76,8.44,25.33,18.0,53.7,22.22,8.5,8.5,8.0,False
84,K Gowtham,2023,6,3.0,96,16.0,118,7.38,39.33,32.0,40.62,12.5,9.33,6.44,4.0,False
85,HH Pandya,2023,11,3.0,150,25.0,228,9.12,76.0,50.0,39.33,24.67,9.76,7.75,0.0,True
86,KM Asif,2023,4,3.0,85,14.17,137,9.67,45.67,28.33,32.94,18.82,11.67,7.38,13.58,False
87,LS Livingstone,2023,5,2.0,42,7.0,94,13.43,47.0,21.0,11.9,40.48,0.0,13.43,0.0,False
88,K Yadav,2023,2,2.0,42,7.0,68,9.71,34.0,21.0,21.43,16.67,6.5,9.0,14.0,False
89,Yash Dayal,2023,5,2.0,84,14.0,165,11.79,82.5,42.0,28.57,28.57,9.75,10.29,18.0,False
90,TG Southee,2023,2,2.0,36,6.0,79,13.17,39.5,18.0,33.33,36.11,12.75,13.0,15.0,False
91,AU Rashid,2023,2,2.0,42,7.0,56,8.0,28.0,21.0,33.33,14.29,0.0,7.67,10.0,False
92,K Khejroliya,2023,2,2.0,26,4.33,64,14.77,32.0,13.0,26.92,34.62,13.5,0.0,15.86,False
93,Lalit Yadav,2023,4,2.0,78,13.0,118,9.08,59.0,39.0,28.21,17.95,7.8,9.17,12.0,False
94,Abhishek Sharma,2023,5,2.0,72,12.0,124,10.33,62.0,36.0,29.17,23.61,12.0,8.1,31.0,False
95,JC Archer,2023,5,2.0,120,20.0,190,9.5,95.0,60.0,35.83,20.0,8.22,7.83,13.8,True
96,AK Markram,2023,6,1.0,49,8.17,70,8.57,70.0,49.0,22.45,18.37,8.5,8.67,6.0,False
97,AJ Hosein,2023,1,1.0,24,4.0,40,10.0,40.0,24.0,20.83,25.0,10.0,10.0,0.0,False
98,T Stubbs,2023,1,1.0,12,2.0,14,7.0,14.0,12.0,25.0,8.33,0.0,9.0,5.0,False
99,Akash Deep,2023,2,1.0,30,5.0,59,11.8,59.0,30.0,33.33,23.33,10.5,13.0,12.0,False
100,D Jansen,2023,1,1.0,24,4.0,53,13.25,53.0,24.0,25.0,29.17,16.0,13.0,12.0,False
101,Mustafizur Rahman,2023,2,1.0,42,7.0,79,11.29,79.0,42.0,30.95,33.33,11.5,10.5,11.67,False
102,DG Nalkande,2023,1,1.0,24,4.0,44,11.0,44.0,24.0,33.33,25.0,11.0,11.0,0.0,False
103,GD Phillips,2023,2,1.0,18,3.0,20,6.67,20.0,18.0,33.33,11.11,4.0,8.0,0.0,False
104,Kartik Tyagi,2023,3,1.0,37,6.17,92,14.92,92.0,37.0,27.03,40.54,16.33,14.0,12.86,False
105,LH Ferguson,2023,3,1.0,46,7.67,96,12.52,96.0,46.0,30.43,26.09,10.0,13.0,13.88,False
106,R Dhawan,2023,4,1.0,42,7.0,60,8.57,60.0,42.0,45.24,23.81,7.5,15.0,0.0,False
107,Shahbaz Ahmed,2023,5,1.0,42,7.0,95,13.57,95.0,42.0,21.43,33.33,20.5,8.75,19.0,False
108,SSB Magala,2023,2,1.0,36,6.0,51,8.5,51.0,36.0,13.89,13.89,14.0,7.0,4.5,False
109,RJW Topley,2023,1,1.0,12,2.0,14,7.0,14.0,12.0,58.33,25.0,7.0,0.0,0.0,False
110,UT Yadav,2023,8,1.0,114,19.0,189,9.95,189.0,114.0,35.96,25.44,8.79,13.25,13.0,False
111,P Dubey,2023,1,1.0,18,3.0,19,6.33,19.0,18.0,44.44,11.11,0.0,6.33,0.0,False
112,R Powell,2023,1,1.0,12,2.0,18,9.0,18.0,12.0,33.33,16.67,0.0,4.0,14.0,False
113,Mayank Dagar,2023,3,1.0,66,11.0,83,7.55,83.0,66.0,33.33,15.15,9.0,7.75,6.0,False
114,A Badoni,2023,1,0.0,1,0.17,0,0.0,0.0,1.0,100.0,0.0,0.0,0.0,0.0,False
115,D Wiese,2023,1,0.0,18,3.0,38,12.67,38.0,18.0,16.67,27.78,11.5,15.0,0.0,False
116,BA Stokes,2023,1,0.0,6,1.0,18,18.0,18.0,6.0,0.0,50.0,18.0,0.0,0.0,False
117,D Pretorius,2023,1,0.0,24,4.0,28,7.0,28.0,24.0,33.33,12.5,0.0,4.5,9.5,False
118,DJ Hooda,2023,1,0.0,6,1.0,8,8.0,8.0,6.0,16.67,16.67,0.0,8.0,0.0,False
119,JE Root,2023,1,0.0,12,2.0,14,7.0,14.0,12.0,8.33,8.33,0.0,7.0,0.0,False
120,H Sharma,2023,1,0.0,18,3.0,28,9.33,28.0,18.0,11.11,22.22,0.0,9.33,0.0,False
121,Gurnoor Brar,2023,1,0.0,18,3.0,42,14.0,42.0,18.0,38.89,38.89,9.0,24.0,0.0,False
122,M Ashwin,2023,2,0.0,24,4.0,53,13.25,53.0,24.0,12.5,25.0,0.0,14.0,11.0,False
123,KR Mayers,2023,6,0.0,42,7.0,59,8.43,59.0,42.0,33.33,19.05,7.17,16.0,0.0,False
124,KR Sen,2023,2,0.0,18,3.0,28,9.33,28.0,18.0,27.78,16.67,2.0,13.0,0.0,False
125,JD Unadkat,2023,3,0.0,48,8.0,92,11.5,92.0,48.0,31.25,25.0,8.5,14.0,14.67,False
126,J Yadav,2023,1,0.0,24,4.0,26,6.5,26.0,24.0,33.33,8.33,8.0,7.0,3.0,False
127,MK Lomror,2023,2,0.0,12,2.0,17,8.5,17.0,12.0,25.0,16.67,0.0,8.5,0.0,False
128,MW Short,2023,3,0.0,24,4.0,25,6.25,25.0,24.0,45.83,12.5,7.0,5.5,0.0,False
129,Mohit Rathee,2023,1,0.0,12,2.0,29,14.5,29.0,12.0,25.0,41.67,0.0,14.5,0.0,False
130,R Tewatia,2023,2,0.0,13,2.17,15,6.92,15.0,13.0,53.85,15.38,0.0,8.0,6.0,False
131,R Goyal,2023,1,0.0,24,4.0,33,8.25,33.0,24.0,25.0,12.5,0.0,8.25,0.0,False
132,Nithish Kumar Reddy,2023,2,0.0,30,5.0,54,10.8,54.0,30.0,33.33,23.33,9.5,11.67,0.0,False
133,OC McCoy,2023,1,0.0,6,1.0,13,13.0,13.0,6.0,33.33,33.33,0.0,0.0,13.0,False
134,NA Saini,2023,1,0.0,12,2.0,34,17.0,34.0,12.0,16.67,33.33,0.0,11.0,23.0,False
135,Swapnil Singh,2023,2,0.0,12,2.0,18,9.0,18.0,12.0,16.67,16.67,0.0,9.0,0.0,False
136,Tilak Varma,2023,1,0.0,6,1.0,7,7.0,7.0,6.0,50.0,16.67,0.0,7.0,0.0,False
137,Vivrant Sharma,2023,2,0.0,18,3.0,37,12.33,37.0,18.0,27.78,16.67,0.0,12.33,0.0,False
